,Data_x,Year,GERCB,HLRCV,LORCB,NGRCV,PERCV,PQRCB,PQRCP,PQRCV,SORCB,SOTXB,TERCB,TERCV,TNRCB,TNRSB,WDRCV,StateCode,Year1
51,469.9,2021-01-01,101.0,13.7,12562.0,235.6,435.8,419.0,109.0,13.7,73.0,112.0,55356.0,905.7,42794.0,39099.0,29.1,0,51
103,4092.4,2021-01-01,99.0,122.3,192018.0,506.0,636.2,4511.0,1174.0,122.3,111.0,239.0,339472.0,4728.6,147454.0,146252.0,5.4,1,51
155,2131.7,2021-01-01,797.0,102.5,116651.0,424.4,543.9,3983.0,1037.0,102.5,772.0,1756.0,225967.0,2675.6,109316.0,104766.0,16.2,2,51
207,4655.9,2021-01-01,50.0,158.3,224293.0,618.1,795.6,5101.0,1328.0,158.3,24822.0,33372.0,426142.0,5451.5,201850.0,174679.0,19.0,3,51
259,20604.4,2021-01-01,287.0,743.4,523778.0,7341.7,8214.0,24246.0,6312.0,743.4,128401.0,196500.0,1473203.0,28818.4,949425.0,807543.0,109.1,4,51
311,2696.1,2021-01-01,271.0,283.1,136389.0,1231.1,1567.2,11804.0,3073.0,283.1,6931.0,9725.0,377991.0,4263.3,241602.0,229710.0,50.5,5,51
363,2868.4,2021-01-01,21.0,300.9,71709.0,801.0,2092.7,7826.0,2037.0,300.9,5216.0,8646.0,240404.0,4961.1,168695.0,161010.0,25.5,6,51
415,330.9,2021-01-01,22.0,1.3,16852.0,164.6,177.9,40.0,10.0,1.3,767.0,1309.0,38773.0,508.8,21921.0,21132.0,0.0,7,51
467,647.1,2021-01-01,430.0,70.5,33057.0,151.4,274.7,2402.0,625.0,70.5,900.0,1282.0,69347.0,921.8,36290.0,34677.0,1.5,8,51
519,15518.2,2021-01-01,7976.0,260.0,689767.0,442.7,705.5,6397.0,1665.0,260.0,40924.0,42971.0,1210286.0,16223.7,520518.0,471476.0,0.8,9,51
571,7339.6,2021-01-01,304.0,237.5,361818.0,2015.3,2264.4,7766.0,2022.0,237.5,843.0,3646.0,703804.0,9604.0,341987.0,339266.0,8.9,10,51
623,946.2,2021-01-01,0.0,29.3,17945.0,29.0,58.4,590.0,154.0,29.3,8863.0,13113.0,37089.0,1004.7,19144.0,10806.0,0.1,11,51
675,1864.6,2021-01-01,538.0,392.7,93502.0,630.4,1052.7,20541.0,5348.0,392.7,845.0,2220.0,231322.0,2917.3,137820.0,138867.0,12.3,12,51
727,944.6,2021-01-01,131.0,129.7,56609.0,215.6,421.6,4937.0,1285.0,129.7,884.0,1101.0,139600.0,1366.3,82991.0,74353.0,63.0,13,51
779,6167.8,2021-01-01,2042.0,580.9,340052.0,4079.9,4684.5,27435.0,7143.0,580.9,4377.0,9462.0,935167.0,10852.3,595115.0,590305.0,13.0,14,51
831,4476.5,2021-01-01,3831.0,295.6,245895.0,1316.4,1672.0,12162.0,3166.0,295.6,1069.0,2102.0,528313.0,6148.5,282418.0,269783.0,32.6,15,51
883,1787.5,2021-01-01,302.0,162.6,95550.0,668.2,838.8,7712.0,2008.0,162.6,365.0,565.0,215930.0,2626.3,120380.0,117854.0,7.3,16,51
935,3040.8,2021-01-01,1860.0,183.8,184844.0,572.9,796.0,6885.0,1793.0,183.8,427.0,686.0,341349.0,3836.8,156505.0,149876.0,23.7,17,51
